"","state","year","fte","kfc","roys","wendys","co_owned"
"608","New Jersey",1993,11.5,0,0,0,1
"609","New Jersey",1993,25.5,0,0,0,0
"610","New Jersey",1993,9.5,1,0,0,1
"611","New Jersey",1993,11.5,1,0,0,1
"612","New Jersey",1993,12,1,0,0,1
"613","New Jersey",1993,0,0,1,0,1
"614","New Jersey",1993,17,0,1,0,1
"615","New Jersey",1993,24,0,1,0,1
"616","New Jersey",1993,NA,0,1,0,1
"617","New Jersey",1993,NA,0,1,0,1
"618","New Jersey",1993,13.5,0,0,1,0
"619","New Jersey",1993,17,0,0,0,1
"620","New Jersey",1993,28,0,0,0,0
"621","New Jersey",1993,21.5,0,0,0,0
"622","New Jersey",1993,30,1,0,0,0
"623","New Jersey",1993,19.5,1,0,0,0
"624","New Jersey",1993,20,1,0,0,0
"625","New Jersey",1993,14.5,0,1,0,0
"626","New Jersey",1993,14.5,0,0,1,0
"627","New Jersey",1993,0,0,0,0,1
"628","New Jersey",1993,31.5,0,0,0,0
"629","New Jersey",1993,11.5,0,0,0,0
"630","New Jersey",1993,20,0,0,0,0
"631","New Jersey",1993,34,0,0,0,0
"632","New Jersey",1993,25,0,0,0,0
"633","New Jersey",1993,10,0,0,0,0
"634","New Jersey",1993,18,0,0,0,0
"635","New Jersey",1993,25,0,0,0,0
"636","New Jersey",1993,23,0,0,0,0
"637","New Jersey",1993,17.5,1,0,0,0
"638","New Jersey",1993,23,1,0,0,1
"639","New Jersey",1993,26,0,1,0,1
"640","New Jersey",1993,16.5,0,1,0,1
"641","New Jersey",1993,35.5,0,1,0,1
"642","New Jersey",1993,31,0,1,0,1
"643","New Jersey",1993,23,0,1,0,1
"644","New Jersey",1993,22.5,0,1,0,0
"645","New Jersey",1993,21.5,0,1,0,1
"646","New Jersey",1993,12,0,1,0,1
"647","New Jersey",1993,20.5,0,0,0,0
"648","New Jersey",1993,25,0,0,0,0
"649","New Jersey",1993,8.5,1,0,0,0
"650","New Jersey",1993,13,0,0,0,0
"651","New Jersey",1993,21.5,0,0,0,0
"652","New Jersey",1993,23,0,0,0,0
"653","New Jersey",1993,25.5,0,0,0,1
"654","New Jersey",1993,21.5,0,0,0,0
"655","New Jersey",1993,9.5,1,0,0,1
"656","New Jersey",1993,36.5,1,0,0,1
"657","New Jersey",1993,16,1,0,0,0
"658","New Jersey",1993,23.75,1,0,0,1
"659","New Jersey",1993,17.5,1,0,0,1
"660","New Jersey",1993,20.5,0,1,0,1
"661","New Jersey",1993,20.5,0,0,1,0
"662","New Jersey",1993,25,0,0,1,0
"663","Pennsylvania",1991,40.5,0,0,0,0
"664","Pennsylvania",1991,13.75,1,0,0,0
"665","Pennsylvania",1991,8.5,1,0,0,1
"666","Pennsylvania",1991,34,0,0,1,1
"667","Pennsylvania",1991,24,0,0,1,1
"668","Pennsylvania",1991,20.5,0,0,1,1
"669","Pennsylvania",1991,70.5,0,0,0,0
"670","Pennsylvania",1991,23.5,0,0,0,0
"671","Pennsylvania",1991,11,1,0,0,1
"672","Pennsylvania",1991,9,1,0,0,1
"673","Pennsylvania",1991,15.5,0,1,0,1
"674","Pennsylvania",1991,58,0,0,0,0
"675","Pennsylvania",1991,26.5,0,0,0,0
"676","Pennsylvania",1991,28.5,0,0,0,0
"677","Pennsylvania",1991,13.5,0,0,0,0
"678","Pennsylvania",1991,16.75,1,0,0,1
"679","Pennsylvania",1991,9.5,1,0,0,1
"680","Pennsylvania",1991,15,0,1,0,1
"681","Pennsylvania",1991,29.5,0,1,0,0
"682","Pennsylvania",1991,18.5,0,1,0,0
"683","Pennsylvania",1991,20.25,0,1,0,1
"684","Pennsylvania",1991,36,0,1,0,1
"685","Pennsylvania",1991,21,0,1,0,0
"686","Pennsylvania",1991,20.5,0,1,0,1
"687","Pennsylvania",1991,19,0,0,1,1
"688","Pennsylvania",1991,14,0,1,0,1
"689","Pennsylvania",1991,19,0,1,0,1
"690","Pennsylvania",1991,32.5,0,0,0,0
"691","Pennsylvania",1991,19,0,0,0,0
"692","Pennsylvania",1991,27,0,0,0,0
"693","Pennsylvania",1991,19.5,0,0,0,0
"694","Pennsylvania",1991,24,0,0,0,0
"695","Pennsylvania",1991,18,0,0,0,0
"696","Pennsylvania",1991,NA,0,0,0,0
"697","Pennsylvania",1991,19,0,0,0,0
"698","Pennsylvania",1991,14,1,0,0,0
"699","Pennsylvania",1991,10.5,1,0,0,0
"700","Pennsylvania",1991,38,0,0,1,1
"701","Pennsylvania",1991,23.5,0,0,1,1
"702","Pennsylvania",1991,10.5,0,0,1,0
"703","Pennsylvania",1991,25,0,0,1,0
"704","Pennsylvania",1991,11,1,0,0,1
"705","Pennsylvania",1991,36.5,0,0,0,0
"706","Pennsylvania",1991,52.5,0,0,0,0
"707","Pennsylvania",1991,29,0,0,0,0
"708","Pennsylvania",1991,45,0,0,0,0
"709","Pennsylvania",1991,22.75,0,0,0,0
"710","Pennsylvania",1991,7.5,1,0,0,0
"711","Pennsylvania",1991,15.5,0,0,1,0
"712","Pennsylvania",1991,38,0,0,1,0
"713","Pennsylvania",1991,17.5,0,0,1,0
"714","Pennsylvania",1991,25,0,0,1,0
"715","Pennsylvania",1991,NA,0,0,0,0
"716","Pennsylvania",1991,21,0,0,0,0
"717","Pennsylvania",1991,15.5,0,0,0,0
"718","Pennsylvania",1991,15.5,0,0,0,0
"719","Pennsylvania",1991,8.5,1,0,0,1
"720","Pennsylvania",1991,18,0,1,0,1
"721","Pennsylvania",1991,20.75,0,0,1,0
"722","Pennsylvania",1991,39,0,0,0,0
"723","Pennsylvania",1991,41.5,0,0,0,0
"724","Pennsylvania",1991,22.5,0,0,0,0
"725","Pennsylvania",1991,32,0,0,0,0
"726","Pennsylvania",1991,24,0,0,0,0
"727","Pennsylvania",1991,26,0,0,0,0
"728","Pennsylvania",1991,48.5,0,0,0,0
"729","Pennsylvania",1991,8.5,1,0,0,1
"730","Pennsylvania",1991,18.5,0,1,0,0
"731","Pennsylvania",1991,13,0,1,0,1
"732","Pennsylvania",1991,22.5,0,0,1,1
"733","Pennsylvania",1991,28,0,0,1,1
"734","Pennsylvania",1991,24.5,0,0,0,0
"735","Pennsylvania",1991,18.5,0,0,0,0
"736","Pennsylvania",1991,23.5,0,1,0,1
"737","Pennsylvania",1991,15,0,1,0,1
"738","Pennsylvania",1991,18,0,1,0,0
"739","Pennsylvania",1991,20.25,0,1,0,1
"740","Pennsylvania",1991,15.5,0,0,0,0
"741","Pennsylvania",1991,21,0,0,0,0
"742","Pennsylvania",1993,24,0,0,0,0
"743","Pennsylvania",1993,11.5,1,0,0,0
"744","Pennsylvania",1993,10.5,1,0,0,1
"745","Pennsylvania",1993,20,0,0,1,1
"746","Pennsylvania",1993,35.5,0,0,1,1
"747","Pennsylvania",1993,NA,0,0,1,1
"748","Pennsylvania",1993,29,0,0,0,0
"749","Pennsylvania",1993,36.5,0,0,0,0
"750","Pennsylvania",1993,11,1,0,0,1
"751","Pennsylvania",1993,8.5,1,0,0,1
"752","Pennsylvania",1993,17.5,0,1,0,1
"753","Pennsylvania",1993,29,0,0,0,0
"754","Pennsylvania",1993,30.5,0,0,0,0
"755","Pennsylvania",1993,26,0,0,0,0
"756","Pennsylvania",1993,18,0,0,0,0
"757","Pennsylvania",1993,20,1,0,0,1
"758","Pennsylvania",1993,13.5,1,0,0,1
"759","Pennsylvania",1993,19,0,1,0,1
"760","Pennsylvania",1993,15.5,0,1,0,0
"761","Pennsylvania",1993,14.5,0,1,0,0
"762","Pennsylvania",1993,14,0,1,0,1
"763","Pennsylvania",1993,19,0,1,0,1
"764","Pennsylvania",1993,21,0,1,0,0
"765","Pennsylvania",1993,18,0,1,0,1
"766","Pennsylvania",1993,20.5,0,0,1,1
"767","Pennsylvania",1993,13.5,0,1,0,1
"768","Pennsylvania",1993,17.5,0,1,0,1
"769","Pennsylvania",1993,25.5,0,0,0,0
"770","Pennsylvania",1993,15.5,0,0,0,0
"771","Pennsylvania",1993,25.5,0,0,0,0
"772","Pennsylvania",1993,27,0,0,0,0
"773","Pennsylvania",1993,16,0,0,0,0
"774","Pennsylvania",1993,19,0,0,0,0
"775","Pennsylvania",1993,24.5,0,0,0,0
"776","Pennsylvania",1993,25,0,0,0,0
"777","Pennsylvania",1993,17,1,0,0,0
"778","Pennsylvania",1993,16.5,1,0,0,0
"779","Pennsylvania",1993,20,0,0,1,1
"780","Pennsylvania",1993,18,0,0,1,1
"781","Pennsylvania",1993,12,0,0,1,0
"782","Pennsylvania",1993,25,0,0,1,0
"783","Pennsylvania",1993,11,1,0,0,1
"784","Pennsylvania",1993,27,0,0,0,0
"785","Pennsylvania",1993,34,0,0,0,0
"786","Pennsylvania",1993,25,0,0,0,0
"787","Pennsylvania",1993,37.5,0,0,0,0
"788","Pennsylvania",1993,21,0,0,0,0
"789","Pennsylvania",1993,9.5,1,0,0,0
"790","Pennsylvania",1993,18,0,0,1,0
"791","Pennsylvania",1993,18,0,0,1,0
"792","Pennsylvania",1993,19,0,0,1,0
"793","Pennsylvania",1993,31.5,0,0,1,0
"794","Pennsylvania",1993,23,0,0,0,0
"795","Pennsylvania",1993,24.5,0,0,0,0
"796","Pennsylvania",1993,27.5,0,0,0,0
"797","Pennsylvania",1993,34.5,0,0,0,0
"798","Pennsylvania",1993,14,1,0,0,1
"799","Pennsylvania",1993,15,0,1,0,1
"800","Pennsylvania",1993,23,0,0,1,0
"801","Pennsylvania",1993,26.5,0,0,0,0
"802","Pennsylvania",1993,23.5,0,0,0,0
"803","Pennsylvania",1993,35.5,0,0,0,0
"804","Pennsylvania",1993,21,0,0,0,0
"805","Pennsylvania",1993,23,0,0,0,0
"806","Pennsylvania",1993,20,0,0,0,0
"807","Pennsylvania",1993,27,0,0,0,0
"808","Pennsylvania",1993,13,1,0,0,1
"809","Pennsylvania",1993,0,0,1,0,0
"810","Pennsylvania",1993,13.5,0,1,0,1
"811","Pennsylvania",1993,NA,0,0,1,1
"812","Pennsylvania",1993,26.75,0,0,1,1
"813","Pennsylvania",1993,43.5,0,0,0,0
"814","Pennsylvania",1993,41.25,0,0,0,0
"815","Pennsylvania",1993,14.25,0,1,0,1
"816","Pennsylvania",1993,12.5,0,1,0,1
"817","Pennsylvania",1993,34,0,1,0,0
"818","Pennsylvania",1993,10,0,1,0,1
"819","Pennsylvania",1993,14,0,0,0,0
"820","Pennsylvania",1993,17.5,0,0,0,0
