childid,catholic,race,race_white,race_black,race_hispanic,race_asian,p5numpla,p5hmage,p5hdage,w3daded,w3momed,w3daded_hsb,w3momed_hsb,w3momscr,w3dadscr,w3inccat,w3income,w3povrty,p5fstamp,c5r2mtsc,c5r2mtsc_std
0452011C,1,"WHITE, NON-HISPANIC",1,0,0,0,2,33,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,61.56,NA,"$25,001 TO $30,000",27500.5,0,0,53.222,0.279576754
0452012C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,NA,BACHELOR'S DEGREE,SOME COLLEGE,0,0,NA,NA,"$100,001 TO $200,000",150000.5,0,0,43.064,-0.766121767
0452014C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,59.753,0.951899754
0452015C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,47,VOC/TECH PROGRAM,SOME COLLEGE,1,0,37.67,53.5,"$50,001 TO $75,000",62500.5,0,0,57.396,0.709262285
0452016C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,33,VOC/TECH PROGRAM,NOT APPLICABLE,1,NA,NA,34.95,"$15,001 TO $20,000",17500.5,1,0,58.654,0.838765016
0452017C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,1,1,38.18,35.92,"$40,001 TO $50,000",45000.5,0,0,42.862,-0.786916323
0452018C,1,"WHITE, NON-HISPANIC",1,0,0,0,2,45,54,BACHELOR'S DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,0,0,63.43,38.18,"$40,001 TO $50,000",45000.5,0,0,66.15,1.610428346
0452019C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,SOME COLLEGE,SOME COLLEGE,0,0,NA,35.63,"$30,001 TO $35,000",32500.5,0,0,59.232,0.89826627
0452020C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,45,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,53.5,NA,"$100,001 TO $200,000",150000.5,0,0,58.55,0.828058907
0452021C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,34,SOME COLLEGE,BACHELOR'S DEGREE,0,0,53.5,35.92,"$30,001 TO $35,000",32500.5,0,0,51.905,0.144000366
0452022C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,63.886,1.377364608
0452023C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,38.18,35.92,"$40,001 TO $50,000",45000.5,0,0,40.233,-1.057554383
0452024C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,40,SOME COLLEGE,SOME COLLEGE,0,0,38.18,35.63,"$50,001 TO $75,000",62500.5,0,0,40.166,-1.064451587
0452025C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,43,SOME COLLEGE,SOME COLLEGE,0,0,34.95,39.18,"$35,001 TO $40,000",37500.5,0,0,55.402,0.503993251
0453001C,0,ASIAN,0,0,0,1,1,33,35,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,33.42,33.42,"$50,001 TO $75,000",62500.5,0,0,55.569,0.52118479
0453002C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,36,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,35.78,48.69,"$30,001 TO $35,000",32500.5,0,0,50.785,0.028703817
0453004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,42,SOME COLLEGE,BACHELOR'S DEGREE,0,0,61.56,39.2,"$75,001 TO $100,000",87500.5,0,0,58.806,0.854412404
0453006C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,VOC/TECH PROGRAM,SOME COLLEGE,1,0,61.56,39.2,"$75,001 TO $100,000",87500.5,0,0,66.033,1.598383974
0453007C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,SOME COLLEGE,BACHELOR'S DEGREE,0,0,38.18,35.78,"$50,001 TO $75,000",62500.5,0,0,49.31,-0.12313762
0453010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,63.43,35.78,"$40,001 TO $50,000",45000.5,0,0,68.584,1.860992453
0453011C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,39,47,HIGH SCHOOL DIPLOMA/EQUIVALENT,9TH - 12TH GRADE,1,1,34.95,35.63,"$25,001 TO $30,000",27500.5,0,0,52.398,0.194751436
0453012C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,49,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,38.18,39.2,"$75,001 TO $100,000",87500.5,0,0,60.73,1.052475404
0453013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,38.18,35.63,"$50,001 TO $75,000",62500.5,0,0,48.073,-0.250478541
0453014C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,22,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,35.78,"$20,001 TO $25,000",22500.5,0,0,47.22,-0.338289216
0453015C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,43,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,34.95,34.95,"$40,001 TO $50,000",45000.5,0,0,51.861,0.139470858
0453017C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,37,VOC/TECH PROGRAM,SOME COLLEGE,1,0,48.69,39.2,"$75,001 TO $100,000",87500.5,0,0,48.223,-0.235037039
0453020C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,47,HIGH SCHOOL DIPLOMA/EQUIVALENT,"MASTER'S DEGREE (MA, MS)",1,0,63.43,39.2,"$50,001 TO $75,000",62500.5,0,0,54.35,0.395696849
0453021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,61.56,39.2,"$50,001 TO $75,000",62500.5,0,0,43.844,-0.685825956
0453022C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,29.6,NA,"$15,001 TO $20,000",17500.5,1,1,57.934,0.764645806
0454001C,0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",0,0,0,0,1,41,NA,NOT APPLICABLE,SOME COLLEGE,NA,0,38.18,NA,"$15,001 TO $20,000",17500.5,0,0,57.187,0.687747125
0454002C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,SOME COLLEGE,SOME COLLEGE,0,0,61.56,38.18,"$100,001 TO $200,000",150000.5,0,0,56.459,0.612804369
0454003C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,SOME COLLEGE,VOC/TECH PROGRAM,0,1,34.95,33.42,"$50,001 TO $75,000",62500.5,0,0,61.921,1.175080931
0454006C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,33,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,43.732,-0.697355611
0454007C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,52,54,BACHELOR'S DEGREE,SOME COLLEGE,0,0,52.54,72.1,"$50,001 TO $75,000",62500.5,0,0,49.782,-0.07454836
0454008C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,NA,NOT APPLICABLE,BACHELOR'S DEGREE,NA,0,NA,NA,"$50,001 TO $75,000",62500.5,0,0,45.747,-0.489924766
0454009C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,NA,NOT APPLICABLE,HIGH SCHOOL DIPLOMA/EQUIVALENT,NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,36.664,-1.424959189
0454010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,34.95,34.95,"$75,001 TO $100,000",87500.5,0,0,50.708,0.020777179
0454011C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,31,37,9TH - 12TH GRADE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,1,0,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,51.897,0.143176819
0454012C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,38,SOME COLLEGE,NOT APPLICABLE,0,NA,NA,35.78,"$35,001 TO $40,000",37500.5,0,0,47.935,-0.264684723
0454014C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,35,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,33.42,39.2,"$15,001 TO $20,000",17500.5,1,0,40.602,-1.019568287
0454015C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,28,SOME COLLEGE,SOME COLLEGE,0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,33.929,-1.706509243
0454016C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.439,-2.683441608
0454017C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.955,-0.365569203
0454018C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,32,34,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,34.95,29.6,"$25,001 TO $30,000",27500.5,0,0,45.386,-0.527087315
0454019C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,NA,77.5,"$200,001 TO $200,001",200001,0,0,55.331,0.496684273
0454020C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,BACHELOR'S DEGREE,SOME COLLEGE,0,0,NA,52.54,"$50,001 TO $75,000",62500.5,0,0,51.231,0.07461655
0454021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,63.43,59,"$35,001 TO $40,000",37500.5,0,0,48.294,-0.227728061
0454022C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,33.42,39.18,"$50,001 TO $75,000",62500.5,0,0,34.225,-1.676038012
0454023C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,29.6,33.42,"$35,001 TO $40,000",37500.5,0,0,44.09,-0.660501893
0454024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,36,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,50.691,0.019027142
0454025C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,28,SOME COLLEGE,SOME COLLEGE,0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,35.212,-1.574432929
0455001C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,44,SOME COLLEGE,BACHELOR'S DEGREE,0,0,53.5,39.2,"$100,001 TO $200,000",150000.5,0,0,48.916,-0.163697299
0455002C,0,ASIAN,0,0,0,1,1,40,43,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,35.78,64.89,"$75,001 TO $100,000",87500.5,0,0,77.567,2.785732541
0455003C,0,ASIAN,0,0,0,1,1,39,43,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,NA,53.5,"$200,001 TO $200,001",200001,0,0,60.732,1.052681291
0455004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,VOC/TECH PROGRAM,"MASTER'S DEGREE (MA, MS)",1,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,55.041,0.466830702
0455006C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,38.18,39.18,"$25,001 TO $30,000",27500.5,0,0,63.091,1.295524647
0455007C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,SOME COLLEGE,SOME COLLEGE,0,0,53.5,33.42,"$75,001 TO $100,000",87500.5,0,0,49.3,-0.124167054
0455008C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.152,-0.448232711
0455009C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,53,"MASTER'S DEGREE (MA, MS)",SOME COLLEGE,0,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,55.94,0.559376771
0455010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,46.855,-0.375863538
0455013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,45,BACHELOR'S DEGREE,SOME COLLEGE,0,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,61.045,1.084902559
0455015C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,53.5,39.2,"$100,001 TO $200,000",150000.5,0,0,54.279,0.388387872
0455016C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,45,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,60.052,0.982679815
0455017C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,40,41,BACHELOR'S DEGREE,SOME COLLEGE,0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,44.32,-0.636824923
0455019C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,38,"MASTER'S DEGREE (MA, MS)",NOT APPLICABLE,0,NA,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,47.33,-0.326965448
0455022C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,52.54,53.5,"$75,001 TO $100,000",87500.5,0,0,70.46,2.054114172
0455023C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,BACHELOR'S DEGREE,SOME COLLEGE,0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,43.598,-0.711150019
0455024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,35,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,57.158,0.684761768
0456001C,0,ASIAN,0,0,0,1,2,47,47,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,34.95,39.18,"$50,001 TO $75,000",62500.5,0,0,43.675,-0.703223382
0456002C,0,ASIAN,0,0,0,1,1,40,43,BACHELOR'S DEGREE,SOME COLLEGE,0,0,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,36.111,-1.48188686
0456003C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,SOME COLLEGE,SOME COLLEGE,0,0,34.95,NA,"$5,001 TO $10,000",7500.5,1,1,60.682,1.047534124
0456004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,55.402,0.503993251
0456005C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,27,NA,NOT APPLICABLE,HIGH SCHOOL DIPLOMA/EQUIVALENT,NA,1,38.18,NA,"$5,000 TO $5,000",5000,1,1,45.695,-0.49527782
0456008C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.871,-0.271273097
0456009C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,42,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,38.431,-1.243058294
0456010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,73.266,2.342973204
0456012C,0,AMERICAN INDIAN OR ALASKA NATIVE,0,0,0,0,1,32,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,35.92,NA,"$25,001 TO $30,000",27500.5,0,0,37.888,-1.298956532
0456013C,1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,45,HIGH SCHOOL DIPLOMA/EQUIVALENT,"MASTER'S DEGREE (MA, MS)",1,0,63.43,37.67,"$40,001 TO $50,000",45000.5,0,0,39.735,-1.108820169
0456014C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,NA,NOT APPLICABLE,HIGH SCHOOL DIPLOMA/EQUIVALENT,NA,1,35.92,NA,"$15,001 TO $20,000",17500.5,0,0,34.972,-1.599139332
0456016C,0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,40,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,35.78,38.18,"$50,001 TO $75,000",62500.5,0,0,42.326,-0.842093957
0456018C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,40,HIGH SCHOOL DIPLOMA/EQUIVALENT,NOT APPLICABLE,1,NA,NA,53.5,"$25,001 TO $30,000",27500.5,0,0,45.469,-0.518543017
0456019C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,SOME COLLEGE,SOME COLLEGE,0,0,34.95,35.92,"$10,001 TO $15,000",12500.5,1,1,45.611,-0.503925062
0456021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,27,VOC/TECH PROGRAM,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,33.42,39.18,"$35,001 TO $40,000",37500.5,0,0,52.946,0.25116439
0456022C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,30,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,38.18,35.92,"$40,001 TO $50,000",45000.5,0,0,45.013,-0.565485183
0456023C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,57.84,0.754969131
0456024C,0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,47,52,SOME COLLEGE,SOME COLLEGE,0,0,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,47.848,-0.273640794
0456040C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,42,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,33.42,33.42,"$50,001 TO $75,000",62500.5,0,0,33.276,-1.773731249
0458002C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,34,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,34.95,39.18,"$35,001 TO $40,000",37500.5,0,0,50.729,0.022938989
0458003C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,28,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,NA,39.2,"$20,001 TO $25,000",22500.5,1,0,56.144,0.580377214
0458005C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,34.95,33.42,"$20,001 TO $25,000",22500.5,1,0,62.803,1.265876963
0458007C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,38.18,35.92,"$25,001 TO $30,000",27500.5,0,0,50.407,-0.010208769
0458009C,0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,30,33,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,38.18,29.6,"$40,001 TO $50,000",45000.5,0,0,52.669,0.222649083
0458012C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.287,0.492154766
0458013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,31,SOME COLLEGE,SOME COLLEGE,0,0,38.18,29.6,"$40,001 TO $50,000",45000.5,0,0,40.874,-0.991567697
0458015C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,38,BACHELOR'S DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,65.401,1.533323779
0458018C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,46,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,61.56,72.1,"$40,001 TO $50,000",45000.5,0,0,56.238,0.590053889
0460001C,0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,50,52,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,0,0,53.5,59,"$40,001 TO $50,000",45000.5,0,0,52.512,0.206486977
0460002C,0,ASIAN,0,0,0,1,1,40,41,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,NA,77.5,"$75,001 TO $100,000",87500.5,0,0,50.524,0.001835603
0460003C,0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,40,42,DOCTORATE OR PROFESSIONAL DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,0,0,38.18,77.5,"$100,001 TO $200,000",150000.5,0,0,74.617,2.482049666
0460004C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,35.78,35.78,"$25,001 TO $30,000",27500.5,0,0,51.075,0.058557387
0460005C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,60,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,34.95,72.1,"$40,001 TO $50,000",45000.5,0,0,55.598,0.524170147
0460006C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,33,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,NA,39.18,"$20,001 TO $25,000",22500.5,0,0,62.436,1.228096755
0460007C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,48,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,BACHELOR'S DEGREE,0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,56.632,0.630613568
0460008C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,35.63,37.67,"$50,001 TO $75,000",62500.5,0,0,46.066,-0.457085839
0460009C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,SOME COLLEGE,SOME COLLEGE,0,0,48.69,33.42,"$50,001 TO $75,000",62500.5,0,0,30.067,-2.10407645
0460010C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,46,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,33.42,33.42,"$50,001 TO $75,000",62500.5,0,0,63.233,1.310142602
0460011C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"MASTER'S DEGREE (MA, MS)",DOCTORATE OR PROFESSIONAL DEGREE,0,0,72.1,52.54,"$50,001 TO $75,000",62500.5,0,0,66.122,1.607545932
0460012C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,SOME COLLEGE,SOME COLLEGE,0,0,38.18,35.92,"$50,001 TO $75,000",62500.5,0,0,52.907,0.247149599
0460013C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,1,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,61.189,1.099726401
0460014C,0,AMERICAN INDIAN OR ALASKA NATIVE,0,0,0,0,1,41,30,9TH - 12TH GRADE,SOME COLLEGE,1,0,34.95,53.5,"$20,001 TO $25,000",22500.5,1,0,44.75,-0.592559283
0460015C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,38,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,33.42,35.78,"$50,001 TO $75,000",62500.5,0,0,54.19,0.379225914
0460017C,0,"WHITE, NON-HISPANIC",1,0,0,0,2,27,24,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,1,0,59,48.69,"$40,001 TO $50,000",45000.5,0,0,55.852,0.550317757
0460018C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,0,1,38.18,48.69,"$35,001 TO $40,000",37500.5,0,0,56.065,0.57224469
0460019C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,53,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",0,0,33.42,77.5,"$50,001 TO $75,000",62500.5,0,0,47.32,-0.327994881
0460020C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,34,SOME COLLEGE,SOME COLLEGE,0,0,29.6,34.95,"$40,001 TO $50,000",45000.5,0,0,48.864,-0.169050353
0460021C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,NA,NOT APPLICABLE,HIGH SCHOOL DIPLOMA/EQUIVALENT,NA,1,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,51.964,0.150074023
0460022C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,38,BACHELOR'S DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,0,0,53.5,35.78,"$40,001 TO $50,000",45000.5,0,0,56.409,0.607657201
0460023C,0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.627,-1.840541481
0460024C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,BACHELOR'S DEGREE,BACHELOR'S DEGREE,0,0,34.95,35.78,"$50,001 TO $75,000",62500.5,0,0,62.253,1.209258122
0460025C,0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,1,1,35.63,37.67,"$50,001 TO $75,000",62500.5,0,0,41.389,-0.938551873
